Lambda (nm),% Red,% Yellow,% Green,% Blue,% Saturation
430,29.06,0.00,0.00,65.82,94.88
440,31.65,0.00,0.00,58.10,89.76
450,19.43,0.00,0.00,75.44,94.88
460,12.50,0.00,0.00,87.50,100.00
470,0.00,0.00,0.00,100.00,100.00
480,0.00,0.00,0.00,70.05,70.05
490,0.00,0.00,0.00,29.23,64.16
500,0.00,0.00,0.00,16.78,73.79
510,0.00,0.00,0.00,7.38,89.76
520,0.00,0.00,0.00,4.07,89.76
530,0.00,0.00,0.00,0.00,85.65
540,0.00,0.00,0.00,0.00,70.27
550,0.00,5.45,5.45,0.00,48.15
560,0.00,0.00,0.00,0.00,49.23
570,0.00,6.98,6.98,0.00,40.25
580,0.00,19.34,19.34,0.00,40.07
590,15.61,18.55,18.55,0.00,34.16
600,20.96,20.96,20.96,0.00,41.92
610,25.80,22.53,22.53,0.00,48.33
620,37.36,12.64,12.64,0.00,50.00
630,69.94,0.00,0.00,0.00,69.94
640,78.91,0.00,0.00,0.00,78.91
650,94.88,0.00,0.00,0.00,94.88
660,89.76,0.00,0.00,0.00,89.76